E0|GeneLLM
R84|対称性
R85|非対称性
R86|保存
R87|散逸
R88|エントロピー
R89|普遍性
R90|特殊性
R91|絶対性
R92|確定性
R93|不確定性
R94|決定論
R95|非決定論
R96|因果関係
R97|相関関係
R98|独立
R99|依存
R100|自律
R101|他律
R102|制約
R103|免責
R104|公正
R105|不公正
R106|不平等
R107|不正義
R108|善
R109|悪
R110|美
R111|醜
R112|真
R113|偽
R114|知
R115|無知
R116|理性
R117|自己
R118|他者
R119|個人
R120|集団
R121|文明
R122|野蛮
R123|繁栄
R124|戦争
R125|対立
R126|包括
R127|排除
R128|受容
R129|拒絶
R130|寛容
R131|不寛容
R132|開放
R133|閉鎖
R134|束縛
R135|解放
R136|抑圧
R137|権限
R138|制限
R139|権力
R140|服従
R141|支配
R142|被支配
R143|リーダーシップ
R144|フォロワーシップ
R145|愚かさ
R146|誤認
R147|忘却
R148|想像
R149|現実
R150|模倣
R151|伝統
R152|変革
R153|停滞
R154|勝利
R155|敗北
R156|利益
R157|損失
R158|得
R159|失
R160|富
R161|貧
R162|豊か
R163|乏しい
R164|満足
R165|不満
R166|幸福
R167|不幸
R168|喜び
R169|悲しみ
R170|憎しみ
R171|希望
R172|絶望
R173|勇気
R174|恐怖
R175|自信
R176|不安
R177|信頼
R178|疑念
R179|誠実
R180|不誠実
R181|正直
R182|不正直
R183|公平
R184|不公平
R185|合法
R186|違法
R187|道徳的
R188|非道徳的
R189|倫理的
R190|非倫理的
R191|不調和
R192|規則
R193|例外
R194|標準
R195|逸脱
R196|通常
R197|異常
R198|普通
R199|特殊
R200|一般
R201|特定
R202|共通
R203|固有
R204|普遍
R205|絶対
R206|相対
R207|客観
R208|主観
R209|事実
R210|意見
R211|信念
R212|行動
R213|原因
R214|結果
R215|手段
R216|過程
R217|入力
R218|出力
R219|刺激
R220|問題
R221|解決
R222|質問
R223|回答
R224|探求
R225|発見
R226|拡散
R227|収束
R228|開始
R229|終了
R230|反復
R231|固定
R232|柔軟
R233|硬直
R234|強靭
R235|脆弱
R236|耐久
R237|一時的
R238|永続
R239|一過性
R240|整合
R241|不整合
R242|一貫
R243|矛盾
R244|精密
R245|大雑把
R246|正確
R247|不正確
R248|厳密
R249|緩い
R250|厳格
R251|可変
R252|能動的
R253|反応的
R254|先制的
R255|防御的
R256|攻撃的
R257|保守的
R258|革新的
R259|伝統的
R260|現代的
R261|古典的
R262|前衛的
R263|主流
R264|非主流
R265|中心
R266|周辺
R267|内部
R268|外部
R269|内側
R270|外側
R271|下
R272|前
R273|後
R274|左
R275|右
R276|中
R277|外
R278|近い
R279|遠い
R280|多い
R281|少ない
R282|速い
R283|遅い
R284|早い
R285|鮮やか
R286|地味
R287|派手
R288|質素
R289|難しい
R290|易しい
R291|困難
R292|容易
R293|厳しい
R294|優しい
R295|細かい
R296|粘い
R297|さらさら
R298|新しい
R299|古い
R300|若い
R301|老いた
R302|生
R303|出発
R304|到着
R305|集中
R306|分散
R307|変動
R308|並進
R309|発散
R310|拡張
R311|収縮
R312|膨張
R313|加熱
R314|冷却
R315|放出
R316|充電
R317|放電
C13|読む
C14|書く
C15|話す
C16|聞く
C17|見る
C18|食べる
C19|飲む
C20|走る
C21|歩く
C22|泳ぐ
C23|飛ぶ
C24|寝る
C25|起きる
C26|働く
C27|休む
C28|遊ぶ
C29|学ぶ
C30|教える
C31|考える
C32|思う
C33|感じる
C34|笑う
C35|泣く
C36|怒る
C37|喜ぶ
C38|悲しむ
C39|恐れる
C40|驚く
C41|愛する
C42|憎む
C43|欲する
C44|望む
C45|期待する
C46|信じる
C47|疑う
C48|知る
C49|忘れる
C50|覚える
C51|理解する
C52|誤解する
C53|説明する
C54|質問する
C55|回答する
C56|調査する
C57|研究する
C58|開発する
C59|設計する
C60|構築する
C61|テストする
C62|デバッグする
C63|リファクタリングする
C64|拡張する
C65|縮小する
C66|統合する
C67|分離する
C68|抽象化する
C69|具体化する
C70|一般化する
C71|特殊化する
C72|初期化する
C73|終了する
C74|開始する
C75|停止する
C76|再開する
C77|保存する
C78|読み込む
C79|書き出す
C80|送信する
C81|受信する
C82|接続する
C83|切断する
C84|登録する
C85|削除する
C86|追加する
C87|更新する
C88|検索する
C89|並べ替える
C90|フィルタリングする
C91|グループ化する
C92|集計する
C93|計算する
C94|測定する
C95|評価する
C96|比較する
C97|選択する
C98|決定する
C99|実行する
C100|中止する
C101|再試行する
C102|スキップする
A11|美しい
A12|醜い
A13|暖かい
A14|涼しい
A15|良い
A16|悪い
A17|正しい
A18|間違った
A19|真実の
A20|偽りの
A21|本物の
A22|偽物の
A23|簡単な
A24|複雑な
A25|単純な
A26|便利な
A27|不便な
A28|快適な
A29|不快な
A30|安全な
A31|危険な
A32|健康的な
A33|不健康な
A34|幸せな
A35|悲しい
A36|楽しい
A37|つまらない
A38|面白い
A39|退屈な
A40|静かな
A41|騒がしい
A42|きれいな
A43|汚い
A44|整然とした
A45|乱雑な
A46|豊かな
A47|貧しい
A48|豊富な
A49|十分な
A50|不十分な
A51|完全な
A52|不完全な
A53|正確な
A54|不正確な
A55|明確な
A56|不明確な
A57|詳細な
A58|大まかな
A59|具体的な
A60|抽象的な
A61|論理的な
A62|非論理的な
A63|合理的な
A64|非合理的な
A65|効率的な
A66|非効率的な
A67|生産的な
A68|非生産的な
A69|創造的な
A70|破壊的な
A71|積極的な
A72|消極的な
A73|肯定的な
A74|否定的な
A75|楽観的な
A76|悲観的な
A77|現実的な
A78|非現実的な
A79|客観的な
A80|主観的な
A81|公平な
A82|不公平な
A83|公正な
A84|不公正な
A85|誠実な
A86|不誠実な
A87|正直な
A88|不正直な
A89|親切な
A90|不親切な
A91|思いやりのある
A92|冷淡な
A93|寛大な
A94|けちな
A95|勇敢な
A96|臆病な
A97|謙虚な
A98|傲慢な
A99|忍耐強い
A100|短気な
A101|慎重な
A102|軽率な
A103|賢い
A104|愚かな
A105|知的な
A106|無知な
A107|教養のある
A108|無教養な
A109|経験豊かな
A110|未経験の
A111|熟練した
A112|未熟な
A113|専門的な
A114|素人の
A115|有能な
A116|無能な
A117|有用な
A118|無用な
A119|必要な
A120|不要な
A121|重要な
A122|些細な
A123|緊急な
A124|非緊急な
A125|永続的な
A126|一時的な
A127|安定した
A128|不安定な
A129|一貫した
A130|矛盾した
A131|互換性のある
A132|互換性のない
A133|硬直した
A134|拡張可能な
A135|制限された
A136|スケーラブルでない
A137|移植可能な
A138|移植不可能な
A139|再利用可能な
A140|使い捨ての
A141|持続可能な
A142|持続不可能な
A143|環境に優しい
A144|環境に有害な
A145|エネルギー効率の良い
A146|エネルギー効率の悪い
A147|コスト効率の良い
A148|コスト効率の悪い
A149|時間効率の良い
A150|時間効率の悪い
M12|非常に
M13|とても
M14|かなり
M15|少し
M16|ほとんど
M17|全く
M18|完全に
M19|部分的に
M20|徐々に
M21|突然
M22|常に
M23|しばしば
M24|時々
M25|めったに
M26|決して
M27|絶対に
M28|確かに
M29|おそらく
M30|もしかすると
M31|実際に
M32|本当に
M33|明らかに
M34|意外にも
M35|当然
M36|必然的に
M37|偶然に
M38|自然に
M39|人為的に
M40|意図的に
M41|無意識に
M42|手動で
M43|直接
M44|間接的に
M45|個別に
M46|一緒に
M47|同時に
M48|順番に
M49|前もって
M50|事後に
M51|早く
M52|遅く
M53|速く
M54|ゆっくりと
M55|静かに
M56|大声で
M57|明確に
M58|曖昧に
M59|詳細に
M60|簡潔に
M61|おおよそ
M62|完璧に
M63|不完全に
M64|非効率的に
M65|生産的に
M66|無駄に
M67|創造的に
M68|型通りに
M69|積極的に
M70|消極的に
M71|肯定的に
M72|否定的に
M73|楽観的に
M74|悲観的に
M75|現実的に
M76|理想的に
M77|客観的に
M78|主観的に
M79|公平に
M80|不公平に
M81|誠実に
M82|不誠実に
M83|正直に
M84|不正直に
M85|親切に
M86|不親切に
M87|思いやりを持って
M88|冷淡に
M89|寛大に
M90|けちに
M91|勇敢に
M92|臆病に
M93|謙虚に
M94|傲慢に
M95|忍耐強く
M96|短気に
M97|慎重に
M98|軽率に
M99|賢く
M100|愚かに
M101|知的に
M102|無知に
M103|専門的に
M104|素人っぽく
M105|有能に
M106|無能に
M107|有用に
M108|無用に
M109|必要に
M110|不要に
M111|重要に
M112|些細に
M113|緊急に
M114|非緊急に
M115|永続的に
M116|一時的に
M117|安定して
M118|不安定に
M119|一貫して
M120|矛盾して
M121|互換性を持って
M122|互換性なく
M123|硬直して
M124|拡張可能に
M125|制限されて
M126|スケーラブルでなく
M127|移植可能に
M128|移植不可能に
M129|再利用可能に
M130|使い捨てに
M131|持続可能に
M132|持続不可能に
M133|環境に優しく
M134|環境に有害に
M135|エネルギー効率良く
M136|エネルギー効率悪く
M137|コスト効率良く
M138|コスト効率悪く
M139|時間効率良く
M140|時間効率悪く
T11|昨日
T12|明日
T13|今週
T14|先週
T15|来週
T16|今月
T17|先月
T18|来月
T19|今年
T20|去年
T21|来年
T22|夕方
T23|深夜
T24|未明
T25|早朝
T26|正午
T27|真夜中
T28|平日
T29|週末
T30|休日
T31|祝日
T32|年始
T33|年末
T34|四半期
T35|半期
T36|年度
T37|millennium
T38|一瞬
T39|しばらく
T40|永遠に
T41|周期的に
T42|不定期に
T43|頻繁に
T44|稀に
T45|いつか
T46|いつも
T47|今すぐ
T48|後で
T49|以前
T50|以後
T51|交互に
T52|連続して
T53|断続的に
T54|不規則に
T55|即座に
T56|遅延して
T57|予定通りに
T58|予想外に
T59|早期に
T60|後期に
T61|初期に
T62|最終的に
T63|中間で
T64|開始時に
T65|終了時に
T66|実行中に
T67|待機中に
T68|停止中に
T69|再開後に
T70|中断前に
T71|更新時に
T72|読み込み時に
T73|書き込み時に
T74|処理中に
T75|計算後に
T76|評価前に
T77|比較時に
T78|選択後に
T79|決定前に
T80|中止後に
T81|再試行前に
T82|スキップ時に
L11|ここ
L12|そこ
L13|あそこ
L14|どこか
L15|どこでも
L16|上部
L17|下部
L18|前方
L19|後方
L20|左側
L21|右側
L22|中央
L23|境界
L24|端
L25|隅
L26|表面
L27|裏面
L28|近く
L29|遠く
L30|国内
L31|海外
L32|オンライン
L33|オフライン
L34|仮想空間
L35|現実世界
L36|フロントエンド
L37|バックエンド
L38|クライアント側
L39|サーバー側
L40|ローカル
L41|リモート
L42|グローバル
L43|ローカルスコープ
L44|グローバルスコープ
L45|プライベート領域
L46|パブリック領域
L47|保護領域
L48|共有メモリ
L49|専用メモリ
L50|キャッシュ
L51|バッファ
L52|スタック
L53|ヒープ
L54|レジスタ
L55|SSD
L56|HDD
L57|フラッシュメモリ
L58|RAM
L59|ROM
L60|クラウドストレージ
L61|ローカルストレージ
L62|データベース
L63|ファイルシステム
L64|イントラネット
L65|VPN
L66|コンテナ
L67|仮想マシン
L68|物理マシン
L69|クラスタ
L70|ノード
L71|エッジ
L72|センター
L73|分散環境
L74|集中環境
L75|開発環境
L76|テスト環境
L77|ステージング環境
L78|本番環境
L79|障害復旧環境
L80|バックアップサイト
L81|プライマリサイト
L82|セカンダリサイト
L83|データセンター
L84|オフィス
L85|自宅
L86|モバイル
L87|デスクトップ
L88|ラップトップ
L89|サーバーラック
L90|クラウドリージョン
L91|アベイラビリティゾーン
L92|CDN
L93|エッジロケーション
Q11|ゼロ
Q12|一つ
Q13|二つ
Q14|三つ
Q15|四つ
Q16|五つ
Q17|十
Q18|百
Q19|千
Q20|万
Q21|億
Q22|兆
Q23|京
Q24|全て
Q25|なし
Q26|いくつか
Q27|多く
Q28|わずか
Q29|十分
Q30|不十分
Q31|過剰
Q32|不足
Q33|一部
Q34|全部
Q35|半分
Q36|四分の一
Q37|三分の一
Q38|八分の一
Q39|パーセント
Q40|割合
Q41|比率
Q42|倍
Q43|数倍
Q44|数十倍
Q45|数百倍
Q46|数千倍
Q47|バイト
Q48|キロバイト
Q49|メガバイト
Q50|ギガバイト
Q51|テラバイト
Q52|ペタバイト
Q53|ビット
Q54|キロビット
Q55|メガビット
Q56|ギガビット
Q57|テラビット
Q58|ヘルツ
Q59|キロヘルツ
Q60|メガヘルツ
Q61|ギガヘルツ
Q62|テラヘルツ
Q63|ワット
Q64|キロワット
Q65|メガワット
Q66|ギガワット
Q67|テラワット
Q68|アンペア
Q69|ボルト
Q70|オーム
Q71|ジュール
Q72|カロリー
Q73|グラム
Q74|キログラム
Q75|トン
Q76|ミリグラム
Q77|マイクログラム
Q78|リットル
Q79|ミリリットル
Q80|立方メートル
Q81|平方メートル
Q82|メートル
Q83|キロメートル
Q84|センチメートル
Q85|ミリメートル
Q86|マイクロメートル
Q87|ナノメートル
Q88|インチ
Q89|フィート
Q90|ヤード
Q91|マイル
Q92|秒
Q93|分
Q94|週間
Q95|ヶ月
Q96|ミリ秒
Q97|マイクロ秒
Q98|ナノ秒
Q99|ピコ秒
Q100|フェムト秒
